Year,Month,Global,NH,SH,Day,Date
1890,11,-0.97,-1.102,-0.706,15,1890-11-15
1890,12,-0.688,-0.68,-0.702,15,1890-12-15
1891,1,-1.006,-1.007,-1.003,15,1891-01-15
1891,2,-0.947,-0.974,-0.894,15,1891-02-15
1891,3,-0.595,-0.679,-0.426,15,1891-03-15
1891,4,-0.843,-0.845,-0.837,15,1891-04-15
1891,5,-0.516,-0.548,-0.451,15,1891-05-15
1891,6,-0.438,-0.42,-0.475,15,1891-06-15
1891,7,-0.417,-0.28,-0.692,15,1891-07-15
1891,8,-0.455,-0.27,-0.826,15,1891-08-15
1891,9,-0.266,-0.019,-0.761,15,1891-09-15
1891,10,-0.579,-0.563,-0.611,15,1891-10-15
1891,11,-0.983,-1.322,-0.305,15,1891-11-15
1891,12,0.009,0.282,-0.537,15,1891-12-15
1892,1,-0.793,-0.993,-0.393,15,1892-01-15
1892,2,-0.206,-0.252,-0.114,15,1892-02-15
1892,3,-0.95,-1.364,-0.12,15,1892-03-15
1892,4,-0.936,-0.902,-1.006,15,1892-04-15
1892,5,-0.757,-0.557,-1.155,15,1892-05-15
